time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
11:55:52.071 , -0.08, 0.04, -0.01, 0.37, -0.79, 0.43, 80.39, 1004.44, -537.51, 
11:55:52.073 , -0.09, 0.01, 0.06, -0.55, -0.49, 0.37, 80.39, 1004.44, -537.51, 
11:55:52.121 , -0.07, 0.03, 0.03, -0.61, -0.43, 0.43, 46.45, 1056.93, -574.04, 
11:55:52.123 , -0.09, -0.00, -0.02, 0.49, -0.55, 0.43, 46.45, 1056.93, -574.04, 
11:55:52.163 , -0.08, 0.03, 0.01, 0.37, -0.98, 0.49, 83.96, 997.21, -530.56, 
11:55:52.163 , -0.08, 0.01, 0.06, -0.49, -0.61, 0.37, 83.96, 997.21, -530.56, 
11:55:52.166 , -0.07, 0.02, 0.02, -0.49, -0.55, 0.49, 35.73, 1053.31, -577.52, 
11:55:52.171 , -0.09, 0.00, -0.02, 0.49, -0.73, 0.43, 35.73, 1053.31, -577.52, 
11:55:52.188 , -0.08, 0.04, 0.01, 0.31, -1.10, 0.49, 83.96, 1015.30, -537.51, 
11:55:52.194 , -0.08, 0.01, 0.06, -0.49, -0.67, 0.37, 87.53, 1004.44, -516.64, 
11:55:52.232 , -0.07, 0.02, 0.01, -0.43, -0.67, 0.49, 50.02, 1056.93, -556.65, 
11:55:52.234 , -0.09, 0.00, -0.02, 0.61, -0.67, 0.43, 30.37, 1051.50, -572.30, 
11:55:52.242 , -0.08, 0.03, 0.01, 0.18, -0.92, 0.43, 75.03, 1006.25, -525.34, 
11:55:52.254 , -0.08, 0.01, 0.06, -0.67, -0.49, 0.31, 85.75, 1017.11, -521.86, 
11:55:52.269 , -0.07, 0.02, 0.00, -0.31, -0.61, 0.49, 50.02, 1060.55, -563.61, 
11:55:52.285 , -0.09, 0.01, -0.02, 0.49, -0.49, 0.49, 78.60, 995.40, -518.38, 
11:55:52.300 , -0.08, 0.03, 0.01, 0.12, -0.79, 0.55, 78.60, 995.40, -518.38, 
11:55:52.315 , -0.08, 0.01, 0.07, -0.79, -0.18, 0.31, 41.09, 1040.64, -579.26, 
11:55:52.330 , -0.07, 0.01, 0.00, -0.31, -0.37, 0.55, 41.09, 1040.64, -579.26, 
11:55:52.344 , -0.10, 0.01, -0.02, 0.49, -0.61, 0.37, 87.53, 1004.44, -527.08, 
11:55:52.359 , -0.08, 0.02, 0.02, 0.06, -0.98, 0.49, 87.53, 1004.44, -527.08, 
11:55:52.374 , -0.08, 0.01, 0.06, -0.73, -0.43, 0.37, 44.66, 1065.98, -568.83, 
11:55:52.389 , -0.07, 0.01, -0.01, -0.24, -0.49, 0.49, 44.66, 1065.98, -568.83, 
11:55:52.405 , -0.10, 0.01, -0.02, 0.61, -0.61, 0.49, 76.81, 1004.44, -520.12, 
11:55:52.438 , -0.08, 0.02, 0.03, -0.12, -0.73, 0.61, 76.81, 1004.44, -520.12, 
11:55:52.440 , -0.08, 0.01, 0.06, -0.73, -0.37, 0.37, 41.09, 1047.88, -582.74, 
11:55:52.449 , -0.07, 0.01, -0.02, -0.12, -0.24, 0.61, 41.09, 1047.88, -582.74, 
11:55:52.464 , -0.10, 0.02, -0.01, 0.49, -0.73, 0.49, 66.10, 1026.16, -530.56, 
11:55:52.479 , -0.08, 0.02, 0.04, -0.06, -0.73, 0.61, 66.10, 1026.16, -530.56, 
11:55:52.495 , -0.08, 0.02, 0.06, -0.79, -0.24, 0.37, 57.16, 1053.31, -574.04, 
11:55:52.510 , -0.07, 0.01, -0.02, 0.00, -0.43, 0.55, 57.16, 1053.31, -574.04, 
11:55:52.525 , -0.10, 0.02, -0.01, 0.49, -0.61, 0.43, 85.75, 1006.25, -507.94, 
11:55:52.539 , -0.08, 0.02, 0.04, -0.12, -0.67, 0.49, 85.75, 1006.25, -507.94, 
11:55:52.555 , -0.08, 0.02, 0.06, -0.79, -0.18, 0.37, 53.59, 1042.45, -587.96, 
11:55:52.569 , -0.08, 0.01, -0.02, 0.12, -0.49, 0.55, 53.59, 1042.45, -587.96, 
11:55:52.584 , -0.09, 0.02, -0.01, 0.55, -0.73, 0.37, 71.46, 1002.63, -514.90, 
11:55:52.608 , -0.08, 0.02, 0.04, -0.24, -0.79, 0.55, 71.46, 1002.63, -514.90, 
11:55:52.614 , -0.08, 0.02, 0.05, -0.61, -0.43, 0.37, 53.59, 1046.07, -570.56, 
