time,Acceleration_x,Acceleration_y,Acceleration_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,magnetic_x,magnetic_y,magnetic_z,
12:18:11.457 , -0.03, -0.05, 0.06, 0.37, -0.73, 0.37, 14.29, 293.19, 59.14, 
12:18:11.460 , -0.05, -0.04, -0.01, 0.31, -1.22, 0.61, 14.29, 293.19, 59.14, 
12:18:11.467 , -0.05, -0.05, -0.01, -0.24, 0.00, 0.55, 33.94, 258.80, 85.24, 
12:18:11.483 , -0.05, -0.02, 0.03, -0.55, -0.79, -0.18, 33.94, 258.80, 85.24, 
12:18:11.519 , -0.04, -0.04, 0.03, 0.98, -1.16, -0.37, 32.15, 304.05, 34.79, 
12:18:11.520 , -0.03, -0.03, 0.01, 0.12, -0.49, 0.43, 32.15, 304.05, 34.79, 
12:18:11.527 , -0.05, -0.04, 0.01, -0.61, -0.98, 0.61, 33.94, 269.66, 74.80, 
12:18:11.541 , -0.05, -0.04, 0.01, -0.06, -0.24, 0.79, 33.94, 269.66, 74.80, 
12:18:11.556 , -0.06, -0.01, 0.01, 0.00, -0.73, 0.31, 23.22, 280.52, 85.24, 
12:18:11.571 , -0.04, -0.03, 0.00, 0.18, -0.98, 0.31, 23.22, 280.52, 85.24, 
12:18:11.586 , -0.04, -0.02, 0.04, -0.79, -0.49, 0.55, 25.01, 296.81, 41.75, 
12:18:11.601 , -0.04, -0.05, 0.04, -0.79, -0.73, 0.43, 25.01, 296.81, 41.75, 
12:18:11.616 , -0.03, -0.03, 0.00, -0.49, -0.92, 0.31, 16.08, 276.90, 74.80, 
12:18:11.632 , -0.06, -0.03, -0.04, 0.98, -0.61, 0.31, 16.08, 276.90, 74.80, 
12:18:11.647 , -0.05, -0.03, 0.02, -0.43, -0.73, -0.06, 26.80, 295.00, 53.93, 
12:18:11.661 , -0.04, -0.03, 0.05, -0.49, -0.98, 0.12, 26.80, 295.00, 53.93, 
12:18:11.678 , -0.04, -0.05, 0.04, -0.18, -0.55, 0.49, 21.44, 293.19, 69.58, 
12:18:11.691 , -0.04, -0.03, -0.03, -0.49, -1.04, 0.79, 21.44, 293.19, 69.58, 
12:18:11.706 , -0.05, -0.04, -0.00, -0.55, -0.24, 0.37, 28.58, 278.71, 80.02, 
12:18:11.722 , -0.04, -0.04, 0.04, 0.18, -0.67, 0.49, 28.58, 278.71, 80.02, 
12:18:11.737 , -0.04, -0.04, 0.02, -0.06, -0.85, 0.61, 23.22, 309.48, 29.57, 
12:18:11.772 , -0.06, -0.02, 0.03, -0.98, -0.24, 0.55, 23.22, 309.48, 29.57, 
12:18:11.774 , -0.04, -0.03, 0.02, -0.85, -0.55, 0.31, 28.58, 260.61, 66.10, 
12:18:11.782 , -0.05, -0.01, -0.01, -0.43, -0.49, -0.12, 28.58, 260.61, 66.10, 
12:18:11.800 , -0.05, -0.03, 0.01, 0.43, -0.61, -0.37, 14.29, 285.95, 59.14, 
12:18:11.811 , -0.04, 0.00, -0.00, 0.55, -1.10, 0.06, 14.29, 285.95, 59.14, 
12:18:11.828 , -0.05, -0.05, 0.04, -0.67, -0.55, 0.06, 19.65, 302.24, 57.40, 
12:18:11.860 , -0.03, -0.04, 0.04, -0.55, -0.92, 0.37, 19.65, 302.24, 57.40, 
12:18:11.862 , -0.05, -0.05, -0.03, -0.18, -0.92, 0.67, 16.08, 266.04, 78.28, 
12:18:11.872 , -0.05, -0.02, -0.00, -0.55, -0.12, -3.54, 16.08, 266.04, 78.28, 
12:18:11.905 , -0.04, -0.01, 0.03, 0.43, -0.73, -0.61, 19.65, 276.90, 57.40, 
12:18:11.906 , -0.05, -0.03, 0.02, -0.31, -0.92, 0.12, 28.58, 318.53, 38.27, 
12:18:11.916 , -0.04, -0.04, 0.03, -0.12, -0.55, 0.67, 23.22, 276.90, 67.84, 
12:18:11.951 , -0.04, -0.04, 0.01, -0.92, -0.43, 0.79, 17.86, 253.37, 73.06, 
